Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall
2021-04-13,Delhi,96,24.3,29.0,9.1,2.0,0.86,66.7,33.2,45.0,5.8,7.8
2021-04-13,Mumbai,153,37.4,71.7,20.1,5.7,1.25,60.2,36.9,51.4,7.7,1.0
2021-04-13,Bangalore,155,30.5,46.5,32.0,8.9,1.87,64.9,38.4,45.5,8.0,0.0
2021-04-13,Chennai,143,28.8,47.4,28.5,8.3,1.96,34.1,35.0,42.1,7.8,0.0
2021-04-13,Kolkata,171,55.3,90.2,23.0,14.9,0.49,27.3,33.0,29.3,8.4,0.0
2021-04-13,Jaipur,208,44.5,80.3,55.4,6.0,2.01,45.5,38.1,62.7,6.6,0.0
2021-04-13,Lucknow,179,43.6,74.6,20.4,13.3,2.32,25.4,35.1,25.2,7.1,0.0
2021-04-13,Hyderabad,126,24.0,50.2,17.7,14.8,1.23,63.1,34.1,47.5,7.3,0.0
2021-04-13,Pune,101,12.8,34.4,15.1,8.9,1.42,66.4,35.7,53.7,12.8,0.0
2021-04-13,Ahmedabad,133,23.4,43.7,31.9,8.9,1.63,46.4,38.9,45.7,6.4,0.0
2021-04-13,Visakhapatnam,161,31.8,79.0,25.4,11.2,1.46,62.6,38.5,55.9,6.8,0.0
2021-04-14,Delhi,189,50.8,79.6,36.0,10.2,1.25,48.0,33.6,52.1,8.7,0.0
2021-04-14,Mumbai,162,39.3,66.5,8.2,10.9,2.38,34.6,33.9,65.3,9.2,0.0
2021-04-14,Bangalore,150,30.3,69.2,32.1,8.9,1.19,54.8,32.6,57.0,7.6,0.0
2021-04-14,Chennai,121,28.0,48.5,31.1,6.8,1.22,10.0,38.8,64.5,6.9,0.0
2021-04-14,Kolkata,131,32.7,50.5,32.9,8.7,0.8,36.8,40.4,54.7,10.1,0.0
2021-04-14,Jaipur,192,35.8,77.6,39.4,11.0,2.64,34.4,35.8,59.7,4.1,0.0
2021-04-14,Lucknow,73,10.0,18.5,22.4,5.4,0.57,56.8,31.8,35.0,6.7,3.1
2021-04-14,Hyderabad,152,31.1,57.0,34.5,11.0,1.63,38.2,33.9,29.8,7.1,0.0
2021-04-14,Pune,125,20.9,35.9,37.5,9.2,1.42,43.4,38.2,39.2,5.9,0.0
2021-04-14,Ahmedabad,195,46.6,95.8,46.8,5.6,1.26,41.2,33.4,51.0,11.0,0.0
